time_code	temperature	acc_x	acc_y	acc_z	gyro_x	gyro_y	gyro_z	mag_y	mag_x	mag_z	roulis	tangage	lacet	compteur	status[0]	status[1]	status[2]	status[3]	status[4]	status[5]	status[6]	status[7]	time_code_sec	Gyr X	Gyr Y	Gyr Z	Acc Z corrig�
2017/04/26 - 13:29:50:01	27,9375	1,1506	-0,02998	9,77394	0,00414	0,00692	-0,00145	0,56817	-0,40724	1,19063	-0,1334	-6,49502	48,73577	0	1	1	1	0	0	1	0	1	48590	0,237204527	0,396486794	-0,08307888	9,79394
2017/04/26 - 13:29:50:02	27,9375	1,15052	-0,05272	9,77455	-0,00638	-0,00378	0,00217	0,56805	-0,40765	1,18962	-0,1375	-6,49295	48,7346	0	1	1	1	0	0	1	0	1	48590,01	-0,365547073	-0,216578047	0,124331842	9,79455
